Word;freqlemfilms2;freqlemlivres;freqfilms2;freqlivres
absorption;0.58;2.03;0.58;1.89
absorptions;0.58;2.03;0;0.14
absoudrai;2.66;3.72;0.01;0
absoudrait;2.66;3.72;0.14;0.14
absoudre;2.66;3.72;1.08;1.55
absoudriez;2.66;3.72;0.01;0.07
absous;2.66;3.72;1.15;1.08
absous;0.02;0.68;0.02;0.68
absout;2.66;3.72;0.11;0.2
absoute;2.66;3.72;0;0.07
absoute;0;0.07;0;0.07
absoute;0;0.14;0;0.14
absoutes;2.66;3.72;0;0.07
abstenaient;4.52;8.78;0;0.07
abstenais;4.52;8.78;0.01;0.34
abstenait;4.52;8.78;0;0.81
abstenant;4.52;8.78;0.12;0.41
abstenez;4.52;8.78;0.57;0.07
absteniez;4.52;8.78;0.01;0
abstenions;4.52;8.78;0;0.07
abstenir;4.52;8.78;1.8;2.77
abstenons;4.52;8.78;0.02;0.2
abstention;0.14;1.28;0.14;1.28
abstentionniste;0.01;0.14;0.01;0
abstentionnistes;0.01;0.14;0;0.14
abstenu;4.52;8.78;0.17;0.81
abstenue;4.52;8.78;0.05;0.47
abstenue;0.01;0;0.01;0
abstenues;4.52;8.78;0.14;0
abstenus;4.52;8.78;0;0.14
abstiendrai;4.52;8.78;0.04;0
abstiendraient;4.52;8.78;0;0.07
abstiendrais;4.52;8.78;0.03;0
abstiendrait;4.52;8.78;0.02;0.07
abstiendras;4.52;8.78;0.01;0.07
abstiendrions;4.52;8.78;0;0.14
abstiendrons;4.52;8.78;0.12;0
abstiendront;4.52;8.78;0.12;0
abstienne;4.52;8.78;0.02;0.07
